,Name,Address,Lat,Lon,Type,Business_Status,Icon,Rating,Total_Ratings,ID,Photo Reference,Price_Level
0,Firefly Restaurant,"4288 24th Street, San Francisco",37.7511917,-122.4382376,restaurant,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.6,556.0,ChIJofWUNAx-j4ARnQzSL9SlBq0,ARywPAIQNWEwciL0mRsKrDapNp5ABtGGvwK4y4pCso8jojgICgtf1ozN3gGm-MFDeG138VCp4grF02lSzX8q4tXZJuQ90UAb_14M61_69bvaAK-2NrcS7suKmlCxuOcBIlmqxVmdywFjx61-mp8TqU9wz6RgQkgR5EpwkoBPb36tJmfBC2OH,3.0
1,Firefly Restaurant,"4288 24th Street, San Francisco",37.7511917,-122.4382376,food,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.6,556.0,ChIJofWUNAx-j4ARnQzSL9SlBq0,ARywPAIQNWEwciL0mRsKrDapNp5ABtGGvwK4y4pCso8jojgICgtf1ozN3gGm-MFDeG138VCp4grF02lSzX8q4tXZJuQ90UAb_14M61_69bvaAK-2NrcS7suKmlCxuOcBIlmqxVmdywFjx61-mp8TqU9wz6RgQkgR5EpwkoBPb36tJmfBC2OH,3.0
2,Firefly Restaurant,"4288 24th Street, San Francisco",37.7511917,-122.4382376,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.6,556.0,ChIJofWUNAx-j4ARnQzSL9SlBq0,ARywPAIQNWEwciL0mRsKrDapNp5ABtGGvwK4y4pCso8jojgICgtf1ozN3gGm-MFDeG138VCp4grF02lSzX8q4tXZJuQ90UAb_14M61_69bvaAK-2NrcS7suKmlCxuOcBIlmqxVmdywFjx61-mp8TqU9wz6RgQkgR5EpwkoBPb36tJmfBC2OH,3.0
3,Firefly Restaurant,"4288 24th Street, San Francisco",37.7511917,-122.4382376,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.6,556.0,ChIJofWUNAx-j4ARnQzSL9SlBq0,ARywPAIQNWEwciL0mRsKrDapNp5ABtGGvwK4y4pCso8jojgICgtf1ozN3gGm-MFDeG138VCp4grF02lSzX8q4tXZJuQ90UAb_14M61_69bvaAK-2NrcS7suKmlCxuOcBIlmqxVmdywFjx61-mp8TqU9wz6RgQkgR5EpwkoBPb36tJmfBC2OH,3.0
4,Anchor Oyster Bar,"579 Castro Street, San Francisco",37.75970219999999,-122.4347069,bar,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.7,1008.0,ChIJwRgt0Bp-j4ARfsBKlfJ4v1M,ARywPALJG1ol6aIg3b-_52Vi-EHgMdeLV-znyywTDi0I67jiBb0yHOLlqOceVGMEdVEZx-R9iE_jYL8iGqlrLimt0VpyqG8T2uNMghTxWG5nBQJKLP_TOrVlHYzTtRijzoUOn5XjkwPYHmfAHIjMAwHE_Ak0RdyNkWzTlWA7NG5pKIm8WHKv,3.0
5,Anchor Oyster Bar,"579 Castro Street, San Francisco",37.75970219999999,-122.4347069,restaurant,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.7,1008.0,ChIJwRgt0Bp-j4ARfsBKlfJ4v1M,ARywPALJG1ol6aIg3b-_52Vi-EHgMdeLV-znyywTDi0I67jiBb0yHOLlqOceVGMEdVEZx-R9iE_jYL8iGqlrLimt0VpyqG8T2uNMghTxWG5nBQJKLP_TOrVlHYzTtRijzoUOn5XjkwPYHmfAHIjMAwHE_Ak0RdyNkWzTlWA7NG5pKIm8WHKv,3.0
6,Anchor Oyster Bar,"579 Castro Street, San Francisco",37.75970219999999,-122.4347069,food,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.7,1008.0,ChIJwRgt0Bp-j4ARfsBKlfJ4v1M,ARywPALJG1ol6aIg3b-_52Vi-EHgMdeLV-znyywTDi0I67jiBb0yHOLlqOceVGMEdVEZx-R9iE_jYL8iGqlrLimt0VpyqG8T2uNMghTxWG5nBQJKLP_TOrVlHYzTtRijzoUOn5XjkwPYHmfAHIjMAwHE_Ak0RdyNkWzTlWA7NG5pKIm8WHKv,3.0
7,Anchor Oyster Bar,"579 Castro Street, San Francisco",37.75970219999999,-122.4347069,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.7,1008.0,ChIJwRgt0Bp-j4ARfsBKlfJ4v1M,ARywPALJG1ol6aIg3b-_52Vi-EHgMdeLV-znyywTDi0I67jiBb0yHOLlqOceVGMEdVEZx-R9iE_jYL8iGqlrLimt0VpyqG8T2uNMghTxWG5nBQJKLP_TOrVlHYzTtRijzoUOn5XjkwPYHmfAHIjMAwHE_Ak0RdyNkWzTlWA7NG5pKIm8WHKv,3.0
8,Anchor Oyster Bar,"579 Castro Street, San Francisco",37.75970219999999,-122.4347069,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.7,1008.0,ChIJwRgt0Bp-j4ARfsBKlfJ4v1M,ARywPALJG1ol6aIg3b-_52Vi-EHgMdeLV-znyywTDi0I67jiBb0yHOLlqOceVGMEdVEZx-R9iE_jYL8iGqlrLimt0VpyqG8T2uNMghTxWG5nBQJKLP_TOrVlHYzTtRijzoUOn5XjkwPYHmfAHIjMAwHE_Ak0RdyNkWzTlWA7NG5pKIm8WHKv,3.0
9,Wasabi Bistro,"524 Castro Street, San Francisco",37.7604175,-122.4352031,restaurant,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,4.3,378.0,ChIJATa0Lht-j4ARYhqlmWOC4qY,ARywPAI-z1SM3MLgxYc1YDIuR8VXapqi8zicbV9_7ScbeMeRHZv8BY99STo7TnzduSk0c1B5OHqbBS3HqdJMuttyWFdlFZTznAJUci3joXpx5KRS5BrrxvvMCXme5jup3xbmcWHqM1Xs9R6k1PbaPFJw39FDPHb7vcweZLwOGF_YnLU2_VwI,2.0
